qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
a16,"Question: 您的民族是？
A. 汉族
B. 少数民族

Answer: B. 少数民族

Answer the following question keeping in mind your previous answers.
Question: 在过去的四周中，由于健康问题影响到您的工作或其他日常活动的频繁程度是
A. 不知道
B. 总是
C. 经常
D. 有时
E. 很少
F. 从不
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' D', ' D', ' F', ' D', ' D', ' E', ' D', ' F', ' E', ' E', ' E', ' E', ' D', ' C', ' E', ' F', ' F', ' C', ' E', ' E', ' E', ' E', ' E', ' C', ' F', ' D', ' C', ' E', ' B', ' E', ' D', ' F', ' D', ' E', ' F', ' E', ' F', ' A', ' D', ' F', ' B', ' F', ' D', ' D', ' D', ' E', ' D', ' F', ' D', ' B', ' F', ' D', ' C', ' C', ' C', ' D', ' E', ' F', ' F', ' E', ' D', ' F', ' E', ' D', ' F', ' E', ' C', ' E', ' B', ' F', ' F', ' D', ' C', ' F', ' C', ' F', ' E', ' B', ' F', ' F', ' D', ' F', ' D', ' D', ' F', ' D', ' F', ' E', ' E', ' D', ' F', ' D', ' F', ' D', ' E', ' E', ' F', ' F', ' F', ' F']","[0.005998842440514184, 0.05968826635804832, 0.1555454191365076, 0.24884845501366906, 0.2564320842367955, 0.2734869328144654, 0.0]",民族,少数民族,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a32,"Question: 您目前的户口类型是？
A. 农业户口
B. 非农业及居民户口

Answer: A. 农业户口

Answer the following question keeping in mind your previous answers.
Question: 在过去一年中，您有多少个晚上是因为出去度假或者探访亲友而没有在家过夜
A. 不知道
B. 从未
C. 1-5个晚上
D. 6-10个晚上
E. 11-20个晚上
F. 21-30个晚上
G. 超过30个晚上
Answer as a choice between A.,B.,C.,D.,E.,F.,G.

Answer:","[' G', ' C', ' B', ' B', ' B', ' B', ' B', ' E', ' C', ' B', ' A', ' B', ' B', ' B', ' E', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' C', ' B', ' G', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' B', ' B', ' B', ' E', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' D', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' F', ' B', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' B']","[0.004413523988008253, 0.7089155563794993, 0.16565321167874705, 0.04843603012185556, 0.02892761072899491, 0.011493366208064525, 0.03216070089483037, 0.0]",户口类型,农业户口,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
c11c,"Question: 您常住地属于以下哪一类区域？
A. 中心城区
B. 城乡结合部
C. 镇
D. 农村

Answer: B. 城乡结合部

Answer the following question keeping in mind your previous answers.
Question: 在最近一次处理下列问题时，您最先向谁寻求帮助-家务琐事
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 专业人员或机构
G. 没有寻求任何人的帮助
H. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' A', ' G', ' A', ' H', ' A', ' E', ' G', ' A', ' A', ' H', ' A', ' G', ' H', ' A', ' A', ' H', ' A', ' A', ' G', ' A', ' G', ' H', ' A', ' A', ' A', ' A', ' A', ' A', ' G', ' G', ' H', ' A', ' G', ' F', ' A', ' A', ' A', ' A', ' A', ' A', ' H', ' A', ' A', ' A', ' G', ' G', ' A', ' H', ' G', ' H', ' A', ' A', ' A', ' A', ' A', ' A', ' E', ' A', ' A', ' G', ' A', ' H', ' A', ' A', ' H', ' A', ' G', ' E', ' A', ' A', ' G', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' H', ' A', ' A', ' A', ' A', ' B', ' A', ' H', ' G', ' E', ' A', ' G', ' E', ' A', ' A', ' H', ' F', ' A', ' G', ' G', ' A', ' E']","[0.5444585327420247, 0.02817828588302142, 0.005011676072250666, 0.0065631179355646226, 0.04824737181807928, 0.012377583497779097, 0.18272581576182004, 0.17243761628946022, 0.0]",居住地类型,城乡结合部,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a424,"Question: 您常住地属于以下哪一类区域？
A. 中心城区
B. 城乡结合部
C. 镇
D. 农村

Answer: C. 镇

Answer the following question keeping in mind your previous answers.
Question: 您是否同意-在经济不景气时，应该先解雇女性员工
A. 不知道
B. 完全不同意
C. 比较不同意
D. 无所谓同意不同意
E. 比较同意
F. 完全同意
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' B', ' D', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' B', ' B', ' D', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' E', ' E', ' C', ' E', ' B', ' B', ' C', ' C', ' D', ' C', ' D', ' B', ' B', ' C', ' B', ' B', ' D', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' B', ' E', ' B', ' D', ' B', ' B', ' C', ' C', ' B', ' D', ' C', ' B', ' B', ' B', ' E', ' B', ' C', ' C', ' B', ' B', ' C', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' B', ' C', ' D', ' C', ' B', ' B', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' C']","[0.01234104535600257, 0.5348355529487583, 0.2633853020074323, 0.09265722302283261, 0.08276412059188591, 0.014016756073088407, 0.0]",居住地类型,镇,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a44,"Question: 您的性别是？
A. 男
B. 女

Answer: B. 女

Answer the following question keeping in mind your previous answers.
Question: 上次居委会选举/村委会选举，您是否参加了投票
A. 不知道
B. 是
C. 否
D. 没有投票资格
Answer as a choice between A.,B.,C.,D.

Answer:","[' C', ' B', ' C', ' B', ' A', ' C', ' C', ' C', ' B', ' D', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' C', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' C', ' C', ' B', ' C', ' D', ' B', ' A', ' C', ' B', ' C', ' C', ' C', ' B', ' B', ' C', ' B', ' C', ' C', ' B', ' B', ' C', ' C', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' B', ' C', ' B', ' B', ' B', ' B', ' D', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' D', ' C', ' C']","[0.026352436253802118, 0.46198816106807505, 0.4712776402111811, 0.040381762466941785, 0.0]",性别,女,"[1.0, 2.0, 3.0, 4.0]"
a423,"Question: 您常住地属于以下哪一类区域？
A. 中心城区
B. 城乡结合部
C. 镇
D. 农村

Answer: A. 中心城区

Answer the following question keeping in mind your previous answers.
Question: 您是否同意-干得好不如嫁得好
A. 不知道
B. 完全不同意
C. 比较不同意
D. 无所谓同意不同意
E. 比较同意
F. 完全同意
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' C', ' E', ' E', ' F', ' E', ' B', ' E', ' B', ' C', ' E', ' B', ' D', ' C', ' E', ' E', ' D', ' B', ' D', ' B', ' E', ' B', ' C', ' D', ' B', ' F', ' D', ' C', ' C', ' C', ' E', ' C', ' C', ' F', ' C', ' F', ' E', ' B', ' E', ' B', ' C', ' E', ' D', ' C', ' E', ' C', ' E', ' C', ' B', ' E', ' C', ' D', ' E', ' D', ' F', ' E', ' E', ' E', ' C', ' D', ' C', ' C', ' C', ' B', ' B', ' D', ' C', ' C', ' C', ' B', ' D', ' C', ' E', ' E', ' F', ' F', ' E', ' B', ' E', ' F', ' B', ' E', ' D', ' C', ' E', ' B', ' E', ' E', ' D', ' E', ' D', ' B', ' C', ' C', ' D', ' F', ' D', ' B', ' E', ' B', ' E']","[0.007324642054158504, 0.21808704760548892, 0.28182196768668744, 0.15886221154995775, 0.24919930211637667, 0.08470482898733088, 0.0]",居住地类型,中心城区,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a43b,"Question: 您是否有宗教信仰？若有，属于哪一类？
A. 不信仰宗教
B. 有宗教信仰

Answer: B. 有宗教信仰

Answer the following question keeping in mind your previous answers.
Question: 您认为您10年前处于哪个等级上
A. 不知道
B. 1分
C. 2分
D. 3分
E. 4分
F. 5分
G. 6分
H. 7分
I. 8分
J. 9分
K. 10分
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.,I.,J.,K.

Answer:","[' F', ' G', ' B', ' E', ' A', ' G', ' K', ' F', ' F', ' B', ' G', ' B', ' D', ' B', ' D', ' E', ' G', ' C', ' B', ' B', ' E', ' F', ' E', ' B', ' F', ' E', ' G', ' E', ' G', ' F', ' E', ' F', ' B', ' B', ' H', ' D', ' F', ' D', ' F', ' I', ' F', ' C', ' I', ' B', ' F', ' D', ' G', ' B', ' H', ' B', ' C', ' E', ' E', ' I', ' F', ' E', ' I', ' E', ' D', ' E', ' E', ' E', ' F', ' F', ' C', ' E', ' D', ' F', ' F', ' C', ' F', ' H', ' B', ' F', ' D', ' F', ' C', ' D', ' B', ' F', ' H', ' F', ' H', ' D', ' C', ' D', ' D', ' B', ' C', ' H', ' B', ' D', ' C', ' B', ' D', ' C', ' I', ' B', ' F', ' G']","[0.00734581862646604, 0.15948415760753873, 0.13626678589447103, 0.17598644551289372, 0.14501562386529315, 0.20520198089779573, 0.08425487487244344, 0.03353805067831832, 0.03157075287337982, 0.00907214487698109, 0.01226336429441902, 0.0009245131143237]",宗教信仰,有宗教信仰,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0]"
c11a,"Question: 您的民族是？
A. 汉族
B. 少数民族

Answer: B. 少数民族

Answer the following question keeping in mind your previous answers.
Question: 在最近一次处理下列问题时，您最先向谁寻求帮助-情绪及心理上的问题
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 专业人员或机构
G. 没有寻求任何人的帮助
H. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' A', ' A', ' G', ' A', ' H', ' H', ' H', ' G', ' A', ' B', ' H', ' H', ' D', ' E', ' H', ' A', ' A', ' G', ' A', ' A', ' G', ' G', ' G', ' B', ' H', ' B', ' H', ' H', ' H', ' E', ' D', ' H', ' A', ' E', ' B', ' H', ' G', ' G', ' G', ' H', ' B', ' A', ' A', ' G', ' E', ' G', ' H', ' A', ' A', ' A', ' A', ' A', ' A', ' H', ' A', ' H', ' A', ' B', ' G', ' A', ' E', ' H', ' H', ' G', ' A', ' A', ' E', ' A', ' H', ' H', ' E', ' A', ' A', ' G', ' G', ' G', ' E', ' D', ' H', ' A', ' A', ' B', ' A', ' H', ' H', ' H', ' H', ' H', ' H', ' A', ' A', ' G', ' H', ' B', ' H', ' G', ' A', ' H', ' G', ' G']","[0.3795444164828421, 0.08650231777447272, 0.00416426639219331, 0.03702117610836199, 0.1006376238425971, 0.006884987733253755, 0.17725019410444143, 0.2079950175618377, 0.0]",民族,少数民族,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a6,"Question: 您目前完成的最高教育程度是？
A. 初中及以下
B. 高中（含中专/技校）
C. 大专及以上

Answer: A. 初中及以下

Answer the following question keeping in mind your previous answers.
Question: 您参加宗教活动的频繁程度是
A. 从来没有参加过
B. 一年不到1次
C. 一年大概1到2次
D. 一年几次
E. 大概一月1次
F. 一月2到3次
G. 差不多每周都有
H. 每周都有
I. 一周几次
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.,I.

Answer:","[' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' I', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' D', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' G', ' A', ' A', ' F', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' B', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' C', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' E', ' A', ' A', ' A', ' A']","[0.8973024698147194, 0.0177569492307631, 0.04171397460014648, 0.016740241559561914, 0.00512480712131252, 0.006989131182920656, 0.005053233105199076, 0.007031589420524564, 0.0022876039648522047, 0.0]",受教育程度,初中及以下,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]"
c11c,"Question: 您的民族是？
A. 汉族
B. 少数民族

Answer: A. 汉族

Answer the following question keeping in mind your previous answers.
Question: 在最近一次处理下列问题时，您最先向谁寻求帮助-家务琐事
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 专业人员或机构
G. 没有寻求任何人的帮助
H. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' A', ' B', ' A', ' A', ' H', ' A', ' B', ' B', ' A', ' B', ' A', ' G', ' A', ' B', ' A', ' H', ' H', ' G', ' B', ' A', ' A', ' D', ' A', ' G', ' G', ' A', ' G', ' H', ' A', ' A', ' A', ' G', ' D', ' A', ' A', ' H', ' A', ' A', ' A', ' H', ' G', ' A', ' B', ' G', ' A', ' A', ' G', ' H', ' A', ' A', ' H', ' A', ' H', ' H', ' A', ' H', ' A', ' E', ' H', ' A', ' A', ' A', ' A', ' G', ' E', ' A', ' A', ' G', ' A', ' H', ' A', ' E', ' A', ' A', ' D', ' A', ' A', ' A', ' B', ' E', ' H', ' A', ' H', ' A', ' H', ' A', ' C', ' G', ' A', ' H', ' B', ' A', ' A', ' G', ' G', ' E', ' A', ' G', ' A', ' B']","[0.5296844893122715, 0.057558226996683955, 0.0048997682121913, 0.030844770029780227, 0.03640880332462656, 0.006270820294129506, 0.1837473270612068, 0.1505857947691102, 0.0]",民族,汉族,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
